Orient:	|x= 0.37 	|y= 0.37 	|z= -5.25	Rot:	|x= 0.00 	|y= 0.12 	|z= 0.00	Linear:	|x= 0.02 	|y= -0.02 	|z= -0.25	Mag:	|x= 2.25 	|y= -1.50 	|z= -31.25	Accl:	|x= 0.09 	|y= 0.87 	|z= 9.50	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
loadCell: 687.67Orient:	|x= 0.37 	|y10 	|y= 0.88 	|z= 9.53	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
loadCell: 687.47= 0.37 	|z= -5.25	Ro25 	|z= 0.06	Linear:= 0.37 	|9.76		


9.76		




loadCell: 687.26:	|x= 0.02 	|y= -0.01 	|z= -0.23	Mag:	|x= 1.50 	|y= -1.06 	|z= -33.06	Accl:	|x= 0.10 	|y= 0.88 	|z= 9.53	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
loadCell: 687.30Orient:	|x= 0.37 	|y= 0.37 	|z= -5.25	Rot:	|x= 0.06 	|y= -0.06 	|z= -0.06	Linear:	|x= 0.02 	|y= 0.00 	|z= -0.24	Mag:	|x= 2.56 	|y= -1.06 	|z= -32.00	Accl:	|x= 0.09 	|y= 0.89 	|z= 9.52	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
loadCell: 687.33Orient:	|x= 0.37 	|y= 0.37 	|z= -5.25	Rot:	|x= -0.06 	|y= -0.12 	|z= 0.12	Linear:	|x= 0.04 	|y= 0.00 	|z= -0.25	Mag:	|x= 2.25 	|y= -1.06 	|z= -32.38	Accl:	|x= 0.10 	|y= 0.90 	|z= 9.50	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
loadCell: 687.33Orient:	|x= 0.37 	|y= 0.37 	|z= -5.25	Rot:	|x= 0.19 	|y= 0.06 	|z= 0.00	Linear:	|x= 0.02 	|y= 0.01 	|z= -0.23	Mag:	|x= 2.56 	|y= -0.75 	|z= -31.56	Accl:	|x= 0.09 	|y= 0.90 	|z= 9.52	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
loadCell: 687.31Orient:	|x= 0.37 	|y= 0.37 	|z= -5.25	Rot:	|x= -0.12 	|y= -0.12 	|z= -0.06	Linear:	|x= 0.02 	|y= -0.01 	|z= -0.27	Mag:	|x= 3.00 	|y= -1.06 	|z= -30.75	Accl:	|x= 0.10 	|y= 0.88 	|z= 9.49	Accl:	|x= 0.07 	|y= 0.89 	|z= 9.76		
