Orient:	|x= 358.81 	|y= 0.06 	|z= -5.13	Rot:	|x= -0.06 	|y= 0.00 	|z= 0.00	Linear:	|x= 0.09 	|y= 0.00 	|z= -0.24	Mag:	|x= -11.38 	|y= 15.75 	|z= -34.56	Accl:	|x= 0.11 	|y= 0.87 	|z= 9.52	Accl:	|x= 0.01 	|y= 0.87 	|z= 9.76		
loadCell: 607.34loadCell: 607.36Orient:	|x= 358.81 	|y= 0.06 	|z= -5.13	Rot:	|x= 0.06 	|y= 01 	|y= 0.87 	|z= 9.7loadCell: 607.39|z= 9.52	Accl:	|x= 0.76		
76		
nt:	|6		
6		
9.76		
|z= 9.76		
9.76		
76		
.76		
		
Orient:	|x= 358.63 	|y= 1.19 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.00	Linear:	|x= -0.05 	|y= -0.02 	|z= -0.21	Mag:	|x= -10.69 	|y= 16.19 	|z= -34.56	Accl:	|x= 0.14 	|y= 0.85 	|z= 9.54	Accl:	|x= 0.20 	|y= 0.88 	|z= 9.76		
loadCell: 749.81Orient:	|x= 358.63 	|y= 1.19 	|z= -5.13	Rot:	|x= -0.06 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.07 	|y= -0.01 	|z= -0.26	Mag:	|x= -12.06 	|y= 16.87 	|z= -33.75	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.50	Accl:	|x= 0.20 	|y= 0.88 	|z= 9.76		
loadCell: 749.81Orient:	|x= 358.63 	|y= 1.19 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.12 	|z= -0.06	Linear:	|x= -0.06 	|y= -0.04 	|z= -0.23	Mag:	|x= -11.38 	|y= 15.75 	|z= -33.38	Accl:	|x= 0.13 	|y= 0.83 	|z= 9.53	Accl:	|x= 0.20 	|y= 0.88 	|z= 9.76		
